symbol,LK01,LK02,LK03,LK04_treated,LK05_treated,LK06_treated,log2FoldChange,pvalue,padj,qval
Cpeb4,883.7986,577.1854979,700.3362651,618.0798572,680.6464867,724.5980047,-0.095518995,0.555511023,0.781387492,0.864923175
Nsg2,1.212343759,0,2.4487282,3.686360977,2.363355857,1.151984109,0.958665231,0.548643804,NA,0.861735238
Il9r,2.424687517,6.456213623,1.2243641,6.143934962,3.545033785,18.43174575,1.492659893,0.118443833,NA,0.419427143
Snrnp25,40.00734403,68.4358644,33.05783069,70.04085857,61.44725227,63.359126,0.464959972,0.163555997,0.412471252,0.502733774
Rhbdf1,152.7553136,105.8819034,115.0902254,125.3362732,151.2547748,183.1654734,0.298925448,0.083658452,0.27085486,0.33916002
Nprl3,452.2042219,429.9838273,445.6685323,487.828436,475.0345272,408.9543588,0.045445623,0.614207194,0.815562083,0.890806593
Mpg,144.2689073,165.2790687,165.2891535,140.0817171,145.3463852,117.5023791,-0.237315739,0.137653539,0.372505677,0.457205698
Hba-a1,8076.634119,19203.3618,9450.866486,9547.674931,6162.450396,29504.617,0.299815059,0.582344675,0.797843298,0.877353078
Hbq1b,3.637031276,0,0,3.686360977,0,3.455952327,0.959489181,0.603901394,NA,0.886445247
Hba-a2,4313.519093,10088.47941,4966.020789,4927.43584,3075.907647,10138.61214,-0.094312116,0.839928477,0.935933023,0.971359458
Hbq1a,2.424687517,3.873728174,0,0,0,1.151984109,-2.299758178,0.330517151,NA,0.711041553
Sh3pxd2b,21.82218765,38.73728174,37.95528709,87.24387646,103.9876577,161.2777753,1.844136313,6.53E-10,3.45E-08,4.62E-08
Ubtd2,10.91109383,10.3299418,11.0192769,3.686360977,11.81677928,5.759920546,-0.596929857,0.237360685,0.512178718,0.610663164
Efcab9,0,0,2.4487282,2.457573985,0,2.303968218,0.93866284,0.500302867,NA,0.833171564
Stk10,75.16531303,91.67823345,101.6222203,143.7680781,232.7905519,249.9805517,1.224907593,5.26E-09,2.38E-07,3.18E-07
Fbxw11,450.9918782,429.9838273,467.7070861,442.3633173,475.0345272,456.1857072,0.026132797,0.771075484,0.902078185,0.946200054
Gm12112,14.5481251,19.36864087,13.4680051,11.05908293,11.81677928,17.27976164,-0.230509325,0.588110341,0.801578082,0.880826078
Rpsa-ps4,4.849375034,9.038699072,6.121820499,7.372721954,11.81677928,9.215872873,0.514510673,0.383231944,0.65766836,0.751529519
Npm1,1777.29595,1913.621718,1861.033432,1964.830401,1882.41294,1868.518225,0.041988786,0.616928355,0.816813329,0.891847717
Gm12115,4.849375034,3.873728174,0,2.457573985,1.181677928,1.151984109,-0.869942055,0.487133484,NA,0.824810599
Ranbp17,1.212343759,3.873728174,6.121820499,2.457573985,5.908389642,1.151984109,-0.235636472,0.821938215,NA,0.963623933
Anp32-ps,1.212343759,1.291242725,2.4487282,4.91514797,0,5.759920546,1.105735085,0.370812497,NA,0.743265493
Gabrp,1.212343759,0,0,2.457573985,1.181677928,3.455952327,2.413252063,0.093280621,NA,0.36269234
Kcnmb1,6.061718793,1.291242725,1.2243641,6.143934962,0,1.151984109,-0.26270378,0.811152199,NA,0.960134198
4930469K13Rik,2.424687517,0,0,2.457573985,9.453423427,11.51984109,3.249920524,0.00733693,NA,0.06371142
Lcp2,42.43203155,117.5030879,88.15421518,328.086127,463.2177479,501.1130875,2.384919796,7.71E-19,2.21E-16,2.95E-16
Dock2,36.37031276,78.7658062,110.192769,188.0044098,264.6958559,339.8353122,1.815851031,7.24E-09,3.17E-07,4.24E-07
Insyn2b,1.212343759,2.582485449,0,0,2.363355857,0,-0.662562567,0.683500741,NA,0.915565525
Spdl1,2.424687517,10.3299418,8.570548698,11.05908293,7.09006757,16.12777753,0.69759491,0.213924737,0.483883002,0.580062772
